fuzzer,protocol,seed,mutant,time,result
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,10,5490,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,11,8,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,11,137,1
echidna,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,12,19818,1
foundry,uniswap-v2,22581645139872629890233439717971975110198959689450188087151966948260709403752,12,426,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,01,6,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,01,131,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,02,16,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,02,128,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,03,131,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,03,7,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,04,5543,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,04,128,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,05,21285,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,05,126,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,06,112,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,06,6,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,07,113,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,07,6,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,08,114,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,08,6,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,09,7,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,09,112,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,10,8859,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,10,267,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,11,7,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,11,97,1
foundry,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,12,324,1
echidna,uniswap-v2,29102676481673041902632991033461445430619272659676223336789171408008386403022,12,19024,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,01,120,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,01,9,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,02,2204,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,02,113,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,03,116,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,03,9,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,04,758,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,04,113,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,05,121,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,05,573,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,06,109,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,06,8,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,07,105,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,07,7,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,08,106,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,08,6,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,09,8,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,09,104,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,10,34,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,10,101,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,11,95,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,11,7,1
foundry,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,12,1365,1
echidna,uniswap-v2,38878206584692966203415385907871375197469080758325516314230789535345649042549,12,59589,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,01,723,1
foundry,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,01,23,1
echidna,uniswap-v2,46529144392117707452946260303848603952187628831689540306122340668716214558864,02,86401,124
